unix,low,high,open,close,volume,date,vol_fiat
1596153600,2.7863,2.9,2.81,2.8469,2014049.41,2020-07-31,5733797.265329001
1596067200,2.7361,2.8541,2.7859,2.81,2174373.37,2020-07-30,6109989.1697
1595980800,2.75,2.9514,2.8401,2.7839,2555760.75,2020-07-29,7114982.351925001
1595894400,2.7262,2.8974,2.831,2.8401,3973800.82,2020-07-28,11285991.708882
1595808000,2.65,2.9865,2.9865,2.8289,8117274.86,2020-07-27,22962958.851454
1595721600,2.953,3.1141,3.0588,2.987,2607658.0,2020-07-26,7789074.446
1595635200,3.0208,3.1176,3.0351,3.0588,2057202.69,2020-07-25,6292571.588172
1595548800,3.0038,3.1996,3.1912,3.0355,2729730.3,2020-07-24,8286096.325649999
1595462400,3.0404,3.2376,3.1064,3.1913,4129991.7,2020-07-23,13180042.51221
1595376000,2.92,3.1439,3.0259,3.1088,2717823.83,2020-07-22,8449170.722704
1595289600,2.7441,3.0799,2.7652,3.0258,3782157.27,2020-07-21,11444051.467566
1595203200,2.7396,2.992,2.9895,2.7702,3469631.54,2020-07-20,9611573.292108
1595116800,2.89,3.0601,3.011,2.9892,2871872.16,2020-07-19,8584600.260672
1595030400,2.92,3.1674,3.1674,3.01,5299097.2,2020-07-18,15950282.571999999
1594944000,3.01,3.2293,3.0964,3.1684,3702056.45,2020-07-17,11729595.656180002
1594857600,2.9515,3.3424,3.2275,3.0964,10258022.28,2020-07-16,31762940.187792
1594771200,2.8551,3.235,2.9561,3.226,9243786.86,2020-07-15,29820456.410359997
1594684800,2.6607,3.059,2.8992,2.9568,6681944.52,2020-07-14,19757173.556735996
1594598400,2.7287,3.1623,2.822,2.9029,12303150.84,2020-07-13,35714816.573436
1594512000,2.5801,2.84,2.6823,2.8215,4064908.59,2020-07-12,11469139.586685
1594425600,2.5113,2.7393,2.5432,2.6845,3060237.44,2020-07-11,8215207.407679999
1594339200,2.4165,2.5947,2.5295,2.5432,1592515.17,2020-07-10,4050084.580344
1594252800,2.4579,2.6542,2.6533,2.5316,3469748.66,2020-07-09,8784015.707656
1594166400,2.4805,2.696,2.51,2.655,4010068.44,2020-07-08,10646731.708199998
1594080000,2.401,2.5939,2.4385,2.5099,4004522.38,2020-07-07,10050950.721562
1593993600,2.2682,2.4846,2.2855,2.4385,2598855.17,2020-07-06,6337308.332044999
1593907200,2.2169,2.3319,2.3263,2.2906,1588226.47,2020-07-05,3637991.5521819997
1593820800,2.2661,2.3563,2.2723,2.3263,1421549.84,2020-07-04,3306951.392792
1593734400,2.2615,2.3466,2.3343,2.2749,2732157.35,2020-07-03,6215384.755515001
1593648000,2.2725,2.408,2.4,2.3338,1930779.21,2020-07-02,4506052.520298
1593561600,2.3343,2.4616,2.3572,2.4005,1269571.6,2020-07-01,3047606.6258000005
1593475200,2.3531,2.4165,2.4124,2.3572,1056281.25,2020-06-30,2489866.1625
1593388800,2.3437,2.4481,2.3688,2.4101,1310130.94,2020-06-29,3157546.578494
1593302400,2.2828,2.4329,2.3129,2.3688,1620051.22,2020-06-28,3837577.3299359996
1593216000,2.2538,2.4945,2.4815,2.3142,2996390.71,2020-06-27,6934247.381082
1593129600,2.4365,2.5817,2.5713,2.4815,3052974.63,2020-06-26,7575956.544345
1593043200,2.518,2.645,2.6191,2.5714,2230589.5,2020-06-25,5735737.8403
1592956800,2.5801,2.8575,2.78,2.6186,2994786.38,2020-06-24,7842147.614668
1592870400,2.634,2.795,2.682,2.7799,2224806.59,2020-06-23,6184739.839540999
1592784000,2.5732,2.7091,2.5858,2.6802,1255168.59,2020-06-22,3364102.8549180003
